customer_tweet_id,customer_text,human_intent,human_intent_v2,human_intent_v3,v3_status,v3_rule,v3_confidence,v3_reason,suggested_intent
2124237,"Hey @118189, stop using IP addresses with no host records. Littlesnitch has to ask me permission to allow Dropbox to connect every time 😒",complaint_dissatisfaction,feature_request,feature_request,resolved,R1b,high,,feature_request
1497111,"So @118189 bills me $990 Cdn for ‘free trial’ of crap product, and now tells me their policy does not allow a refund. Nice fraud! Shame! https://t.co/lKkAEvqvCK",complaint_dissatisfaction,billing_subscription,billing_subscription,resolved,R1d,high,,billing_subscription
1495052,@118189 I need more space and refuse to pay for 5 users on Business. What are my options?,storage_quota_plan_limits,billing_subscription,billing_subscription,resolved,R6a,high,,billing_subscription
1577600,@DropboxSupport my shared link always show error 429 ... this happens from nearly 2 years ago till now !,sharing_permissions,sharing_permissions,storage_quota_plan_limits,resolved,R6b,medium,"'my shared link always show error 429' is a rate-limit response. Part 3 assigns 'shared-link traffic limits' to storage_quota_plan_limits explicitly, so the shared object does not make it a permissions issue.",sharing_permissions
2956783,@DropboxSupport I use a shared Dropbox between 6 people. Everyone can add to the Dropbox except for me. It says my Dropbox is full. The only thing on the Dropbox is the shared folder. Why can’t I add anything,sharing_permissions,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R3b,high,,storage_quota_plan_limits
2607972,@118189 - wee bug on accepting a shared folder - https://t.co/KSDfUjpEZQ,sync_app_bug,sharing_permissions,sharing_permissions,resolved,R3a,high,,sharing_permissions
622045,Alright @118189 it’s 2017 the fact that one shared folder uses up my entire quota is not cool.,complaint_dissatisfaction,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R1d,medium,,storage_quota_plan_limits
2425723,This is very disapointing @118189. You can't simply change the permission settings to 'everybody with the link can edit'... i understand you need to make money but this is such a basic functionality that just should work... https://t.co/fZL7urdEZW,complaint_dissatisfaction,sharing_permissions,sharing_permissions,resolved,R1d,medium,,sharing_permissions
2629478,"@DropboxSupport WTF is going on.I keep getting messages saying my Dropbox is full and to pay for more space. So I delete loads of ancient jpgs, only to find them all being reloaded, but I cannot find where the instruction is hidden to STOP THIS HAPPENING. Please advise.",how_to_usage,storage_quota_plan_limits,storage_quota_plan_limits,resolved,R4,high,,storage_quota_plan_limits
259327,@DropboxSupport how can I eliminate a Team folder? It's imposible and the person is no longer available for me to reach to!,how_to_usage,sharing_permissions,sharing_permissions,resolved,R3a,high,,sharing_permissions
1874043,@118189 Sad cos I can't remember which email my first cudi concert is under and which email the Especial Tour was under either 😞,how_to_usage,no_action_needed,no_action_needed,resolved,R9a,high,,account_access
1788320,@118189 my desktop app (Mac) is syncing at a snail's pace today. Is the service having issues?,service_outage,sync_app_bug,sync_app_bug,resolved,R8a,high,,sync_app_bug
1577541,"this should read “hi Elara your @118189 is full but we can help if you give us money. also we don’t have a student discount, so fuck you.” https://t.co/e8DIsWJNKg",storage_quota_plan_limits,complaint_dissatisfaction,complaint_dissatisfaction,resolved,R1c,high,,complaint_dissatisfaction
1851629,Is @DropboxSupport down? Mac Client does not sync….,service_outage,service_outage,sync_app_bug,resolved,R8a,high,'Is @Dropbox down? Mac Client does not sync....' is 1788320's exact shape -- a device-specific symptom alongside an outage guess. R8a was written for this. Both human and model said service_outage.,service_outage
838554,@DropboxSupport The auto checkbox &amp; star features are making my business user experience worthless. How do I disable?!,complaint_dissatisfaction,how_to_usage,how_to_usage,resolved,R1a,high,,how_to_usage
1339451,@DropboxSupport How can I control reminders for Showcase emails? I can see this annoying some clients who download docs without signing in,feature_request,how_to_usage,how_to_usage,resolved,R1a,high,,how_to_usage
3485,"@DropboxSupport hi, when I follow the link, dropbox asks me to log in with my biz account. I want to apply it to my personal account",account_access,how_to_usage,how_to_usage,resolved,R7b,medium,,how_to_usage
241283,@DropboxSupport I can't download dropbox mobile after the last update on Microsoft store,complaint_dissatisfaction,sync_app_bug,sync_app_bug,resolved,R1a,high,,sync_app_bug
