customer_tweet_id,system,human_overall,human_is_deflection,judge_overall,judge_is_deflection
2425723,simple,2,True,1,True
1754987,simple,2,True,1,True
929722,llm,4,False,2,True
53189,simple,2,True,1,True
2867703,simple,1,True,1,True
2179670,simple,1,True,1,True
2243327,llm,4,False,2,True
1495052,simple,4,False,1,True
2179683,llm,3,False,2,True
2179683,simple,3,False,1,True
2507946,llm,5,False,5,False
2055860,llm,4,False,5,False
750253,simple,2,True,1,False
1859795,simple,5,False,5,False
237165,llm,5,False,5,False
1299266,llm,5,False,5,False
2507946,simple,3,False,1,False
267212,trivial,3,False,2,True
2629478,trivial,1,True,1,True
1577600,llm,3,False,2,True
1497118,llm,1,True,2,True
2425723,llm,3,False,1,False
237165,llm,4,False,2,True
2250117,simple,1,True,1,True
37940,trivial,1,True,2,True
1299266,llm,4,False,5,False
2179683,llm,3,False,2,True
1972451,simple,1,True,1,True
1972451,llm,4,False,5,False
1972451,simple,1,True,1,True
